bairro,cidade,estado,lat,lng
Vl MARCELINO,São Carlos,SP,-22.0296504,-47.8827053
RES AMÉRICO ALVES MARGARIDO,São Carlos,SP,,
JD DECRESCI,São Carlos,SP,,
JD HIKARI,São Carlos,SP,,
COND ESTÂNCIA CAVALINO,São Carlos,SP,,
ECCO VILLAGE BROA,São Carlos,SP,,
JD JOCKEY CLUB,São Carlos,SP,,
PQ PRIMAVERA,São Carlos,SP,-22.0069301,-47.8669354
JD JOCKEI CLUB,São Carlos,SP,,
VL PELICANO,São Carlos,SP,-22.0239144,-47.8970665
MORADAS II,São Carlos,SP,-21.9833713,-47.9427759
PQ DELTA,São Carlos,SP,-21.9907035,-47.8959997
JD JOCKEI CLUB A,São Carlos,SP,,
JD ARAUCÁRIA,São Carlos,SP,,
BOSQUE SÃO CARLOS,São Carlos,SP,-21.9018475,-47.6208103
JD BEATRIZ,São Carlos,SP,,
PQ BELVEDERE,São Carlos,SP,-21.996737,-47.8718096
MORADAS III,São Carlos,SP,-21.9873854,-47.9422518
PQ SANTA FELICIA JARDIM,São Carlos,SP,-22.0002251,-47.9169821
PQ SANTA FELICIA,São Carlos,SP,-22.0073981,-47.9202325
PQ FABER II,São Carlos,SP,-22.0138798,-47.9132553
TERRA NOVA SAO CARLOS,São Carlos,SP,-21.986095,-47.9392609
RES QUEBEC,São Carlos,SP,,
RES ELDORADO,São Carlos,SP,,
PLANALTO PARAISO,São Carlos,SP,-22.0072508,-47.9113232
VALE SANTA FELICIDADE,São Carlos,SP,-21.9297601,-47.8772633
RES AQUARELA,São Carlos,SP,,
JD PAULISTA,São Carlos,SP,-22.3610149,-46.9315456
JD PACAEMBU,São Carlos,SP,,
LOTEAMENTO SÃO CARLOS CLUB,São Carlos,SP,,
JD MARIANA,São Carlos,SP,,
JD SÃO RAFAEL,São Carlos,SP,,
PQ FABER III,São Carlos,SP,-22.0082831,-47.9259705
BALNEARIO 29,São Carlos,SP,,
PQ FABBER,São Carlos,SP,,
RECANTO DO BOSQUE,São Carlos,SP,-21.9992474,-47.9245739
CHACARA DESCALVADO,São Carlos,SP,-21.9222753,-47.6305182
QUINTA DOS BURITIS,São Carlos,SP,-21.9197768,-47.8952623
VL LUTFALLA,São Carlos,SP,-22.0305885,-47.8879404
EST. VELHA S.CARLOS,São Carlos,SP,-23.8242858,-45.3718785
LAGOA DOURADA,São Carlos,SP,,
JD ACAPULCO,São Carlos,SP,,
JD DO BOSQUE,São Carlos,SP,,
VAL PARAISO I,São Carlos,SP,,
RES VILLENEUVE I,São Carlos,SP,,
VILLAGE DAMHA II,São Carlos,SP,-21.9774838,-47.8905881
REPRESA 29,São Carlos,SP,,
TIBAIA DE SÃO FERNANDO I,São Carlos,SP,-21.934981,-47.8867878
VILLAGE DAMHA III,São Carlos,SP,-21.9733634,-47.8975346
COND RES FAIXA AZUL,São Carlos,SP,,
